check_name,severity,name_key,email,duplicate_count,affected_ids
DQ1_DUPLICATE_CUSTOMER,HIGH,amal dissanayake,amal.dissanayake@example.com,4,"1003,1047,1086,1127"
DQ1_DUPLICATE_CUSTOMER,HIGH,amal fernando,amal.fernando@example.com,4,"1018,1035,1267,1278"
DQ1_DUPLICATE_CUSTOMER,HIGH,amal gunawardena,amal.gunawardena@example.com,4,"1151,1237,1475,1505"
DQ1_DUPLICATE_CUSTOMER,HIGH,amal karunaratne,amal.karunaratne@example.com,2,"1188,1287"
DQ1_DUPLICATE_CUSTOMER,HIGH,amal rathnayake,amal.rathnayake@example.com,2,"1122,1134"
DQ1_DUPLICATE_CUSTOMER,HIGH,amal wickramasinghe,amal.wickramasinghe@example.com,4,"1238,1286,1434,1455"
DQ1_DUPLICATE_CUSTOMER,HIGH,anjali bandara,anjali.bandara@example.com,2,"1125,1494"
DQ1_DUPLICATE_CUSTOMER,HIGH,anjali dissanayake,anjali.dissanayake@example.com,3,"1325,1382,1499"
DQ1_DUPLICATE_CUSTOMER,HIGH,anjali fernando,anjali.fernando@example.com,3,"1181,1368,1385"
DQ1_DUPLICATE_CUSTOMER,HIGH,anjali gunawardena,anjali.gunawardena@example.com,2,"1079,1335"
DQ1_DUPLICATE_CUSTOMER,HIGH,anjali jayasuriya,anjali.jayasuriya@example.com,2,"1072,1449"
DQ1_DUPLICATE_CUSTOMER,HIGH,anjali karunaratne,anjali.karunaratne@example.com,3,"1055,1165,1268"
DQ1_DUPLICATE_CUSTOMER,HIGH,anjali perera,anjali.perera@example.com,2,"1137,1228"
DQ1_DUPLICATE_CUSTOMER,HIGH,anjali silva,anjali.silva@example.com,3,"1197,1303,1409"
DQ1_DUPLICATE_CUSTOMER,HIGH,anjali wickramasinghe,anjali.wickramasinghe@example.com,2,"1031,1322"
DQ1_DUPLICATE_CUSTOMER,HIGH,chamara bandara,chamara.bandara@example.com,2,"1297,1371"
DQ1_DUPLICATE_CUSTOMER,HIGH,chamara dissanayake,chamara.dissanayake@example.com,3,"1011,1025,1351"
DQ1_DUPLICATE_CUSTOMER,HIGH,chamara fernando,chamara.fernando@example.com,4,"1245,1457,1493,1496"
DQ1_DUPLICATE_CUSTOMER,HIGH,chamara karunaratne,chamara.karunaratne@example.com,3,"1178,1187,1293"
DQ1_DUPLICATE_CUSTOMER,HIGH,chamara perera,chamara.perera@example.com,5,"1004,1006,1061,1121,1477"
DQ1_DUPLICATE_CUSTOMER,HIGH,chamara rathnayake,chamara.rathnayake@example.com,3,"1254,1295,1472"
DQ1_DUPLICATE_CUSTOMER,HIGH,chamara silva,chamara.silva@example.com,4,"1014,1172,1298,1443"
DQ1_DUPLICATE_CUSTOMER,HIGH,chamara wickramasinghe,chamara.wickramasinghe@example.com,2,"1099,1353"
DQ1_DUPLICATE_CUSTOMER,HIGH,chathurika bandara,chathurika.bandara@example.com,8,"1096,1101,1120,1128,1132,1177,1301,1350"
DQ1_DUPLICATE_CUSTOMER,HIGH,chathurika dissanayake,chathurika.dissanayake@example.com,3,"1142,1260,1314"
DQ1_DUPLICATE_CUSTOMER,HIGH,chathurika fernando,chathurika.fernando@example.com,7,"1094,1108,1110,1129,1150,1182,1389"
DQ1_DUPLICATE_CUSTOMER,HIGH,chathurika jayasuriya,chathurika.jayasuriya@example.com,5,"1030,1058,1076,1186,1334"
DQ1_DUPLICATE_CUSTOMER,HIGH,chathurika perera,chathurika.perera@example.com,3,"1080,1291,1483"
DQ1_DUPLICATE_CUSTOMER,HIGH,chathurika rathnayake,chathurika.rathnayake@example.com,2,"1152,1358"
DQ1_DUPLICATE_CUSTOMER,HIGH,chathurika silva,chathurika.silva@example.com,2,"1380,1414"
DQ1_DUPLICATE_CUSTOMER,HIGH,chathurika wickramasinghe,chathurika.wickramasinghe@example.com,5,"1124,1309,1342,1416,1487"
DQ1_DUPLICATE_CUSTOMER,HIGH,dilani bandara,dilani.bandara@example.com,3,"1075,1275,1428"
DQ1_DUPLICATE_CUSTOMER,HIGH,dilani dissanayake,dilani.dissanayake@example.com,3,"1020,1347,1400"
DQ1_DUPLICATE_CUSTOMER,HIGH,dilani fernando,dilani.fernando@example.com,4,"1146,1352,1356,1478"
DQ1_DUPLICATE_CUSTOMER,HIGH,dilani gunawardena,dilani.gunawardena@example.com,2,"1056,1332"
DQ1_DUPLICATE_CUSTOMER,HIGH,dilani karunaratne,dilani.karunaratne@example.com,3,"1221,1266,1498"
DQ1_DUPLICATE_CUSTOMER,HIGH,dilani perera,dilani.perera@example.com,2,"1109,1307"
DQ1_DUPLICATE_CUSTOMER,HIGH,dilani rathnayake,dilani.rathnayake@example.com,3,"1144,1157,1397"
DQ1_DUPLICATE_CUSTOMER,HIGH,dilani wickramasinghe,dilani.wickramasinghe@example.com,2,"1213,1484"
DQ1_DUPLICATE_CUSTOMER,HIGH,hasini dissanayake,hasini.dissanayake@example.com,4,"1272,1364,1410,1435"
DQ1_DUPLICATE_CUSTOMER,HIGH,hasini fernando,hasini.fernando@example.com,2,"1198,1201"
DQ1_DUPLICATE_CUSTOMER,HIGH,hasini gunawardena,hasini.gunawardena@example.com,3,"1145,1194,1448"
DQ1_DUPLICATE_CUSTOMER,HIGH,hasini rathnayake,hasini.rathnayake@example.com,3,"1341,1422,1506"
DQ1_DUPLICATE_CUSTOMER,HIGH,hasini silva,hasini.silva@example.com,6,"1089,1155,1183,1282,1296,1446"
DQ1_DUPLICATE_CUSTOMER,HIGH,ishara bandara,ishara.bandara@example.com,3,"1234,1441,1491"
DQ1_DUPLICATE_CUSTOMER,HIGH,ishara dissanayake,ishara.dissanayake@example.com,4,"1203,1226,1357,1485"
DQ1_DUPLICATE_CUSTOMER,HIGH,ishara fernando,ishara.fernando@example.com,3,"1048,1052,1174"
DQ1_DUPLICATE_CUSTOMER,HIGH,ishara jayasuriya,ishara.jayasuriya@example.com,6,"1027,1106,1161,1408,1456,1513"
DQ1_DUPLICATE_CUSTOMER,HIGH,ishara karunaratne,ishara.karunaratne@example.com,2,"1090,1405"
DQ1_DUPLICATE_CUSTOMER,HIGH,ishara perera,ishara.perera@example.com,4,"1001,1032,1253,1390"
DQ1_DUPLICATE_CUSTOMER,HIGH,ishara rathnayake,ishara.rathnayake@example.com,2,"1019,1064"
